yearID	league	teamID	franchID	Rank	G	W	L	name	park	teamNO
1938	AL	BOS	BOS	2	150	88	61	Boston Red Sox	Fenway Park II	992
1938	NL	BRO	LAD	7	151	69	80	Brooklyn Dodgers	Ebbets Field	993
1938	NL	BSN	ATL	5	153	77	75	Boston Bees	Braves Field	994
1938	AL	CHA	CHW	6	149	65	83	Chicago White Sox	Comiskey Park	995
1938	NL	CHN	CHC	1	154	89	63	Chicago Cubs	Wrigley Field	996
1938	NL	CIN	CIN	4	151	82	68	Cincinnati Reds	Crosley Field	997
1938	AL	CLE	CLE	3	153	86	66	Cleveland Indians	League Park II/Cleveland Stadium	998
1938	AL	DET	DET	4	155	84	70	Detroit Tigers	Briggs Stadium	999
1938	NL	NY1	SFG	3	152	83	67	New York Giants	Polo Grounds IV	1000
1938	AL	NYA	NYY	1	157	99	53	New York Yankees	Yankee Stadium I	1001
1938	AL	PHA	OAK	8	154	53	99	Philadelphia Athletics	Shibe Park	1002
1938	NL	PHI	PHI	8	151	45	105	Philadelphia Phillies	Baker Bowl/Shibe Park	1003
1938	NL	PIT	PIT	2	152	86	64	Pittsburgh Pirates	Forbes Field	1004
1938	AL	SLA	BAL	7	156	55	97	St. Louis Browns	Sportsman's Park IV	1005
1938	NL	SLN	STL	6	156	71	80	St. Louis Cardinals	Sportsman's Park IV	1006
1938	AL	WS1	MIN	5	152	75	76	Washington Senators	Griffith Stadium I	1007
1939	AL	BOS	BOS	2	152	89	62	Boston Red Sox	Fenway Park II	1008
1939	NL	BRO	LAD	3	157	84	69	Brooklyn Dodgers	Ebbets Field	1009
1939	NL	BSN	ATL	7	152	63	88	Boston Bees	Braves Field	1010
1939	AL	CHA	CHW	4	155	85	69	Chicago White Sox	Comiskey Park	1011
1939	NL	CHN	CHC	4	156	84	70	Chicago Cubs	Wrigley Field	1012
1939	NL	CIN	CIN	1	156	97	57	Cincinnati Reds	Crosley Field	1013
1939	AL	CLE	CLE	3	154	87	67	Cleveland Indians	League Park II/Cleveland Stadium	1014
1939	AL	DET	DET	5	155	81	73	Detroit Tigers	Briggs Stadium	1015
1939	NL	NY1	SFG	5	151	77	74	New York Giants	Polo Grounds IV	1016
1939	AL	NYA	NYY	1	152	106	45	New York Yankees	Yankee Stadium I	1017
1939	AL	PHA	OAK	7	153	55	97	Philadelphia Athletics	Shibe Park	1018
1939	NL	PHI	PHI	8	152	45	106	Philadelphia Phillies	Shibe Park	1019
1939	NL	PIT	PIT	6	153	68	85	Pittsburgh Pirates	Forbes Field	1020
1939	AL	SLA	BAL	8	156	43	111	St. Louis Browns	Sportsman's Park IV	1021
1939	NL	SLN	STL	2	155	92	61	St. Louis Cardinals	Sportsman's Park IV	1022
1939	AL	WS1	MIN	6	153	65	87	Washington Senators	Griffith Stadium I	1023
1940	AL	BOS	BOS	4	154	82	72	Boston Red Sox	Fenway Park II	1024
1940	NL	BRO	LAD	2	156	88	65	Brooklyn Dodgers	Ebbets Field	1025
1940	NL	BSN	ATL	7	152	65	87	Boston Bees	Braves Field	1026
1940	AL	CHA	CHW	4	155	82	72	Chicago White Sox	Comiskey Park	1027
1940	NL	CHN	CHC	5	154	75	79	Chicago Cubs	Wrigley Field	1028
1940	NL	CIN	CIN	1	155	100	53	Cincinnati Reds	Crosley Field	1029
1940	AL	CLE	CLE	2	155	89	65	Cleveland Indians	League Park II/Cleveland Stadium	1030
1940	AL	DET	DET	1	155	90	64	Detroit Tigers	Briggs Stadium	1031
1940	NL	NY1	SFG	6	152	72	80	New York Giants	Polo Grounds IV	1032
1940	AL	NYA	NYY	3	155	88	66	New York Yankees	Yankee Stadium I	1033
1940	AL	PHA	OAK	8	154	54	100	Philadelphia Athletics	Shibe Park	1034
1940	NL	PHI	PHI	8	153	50	103	Philadelphia Phillies	Shibe Park	1035
1940	NL	PIT	PIT	4	156	78	76	Pittsburgh Pirates	Forbes Field	1036
1940	AL	SLA	BAL	6	156	67	87	St. Louis Browns	Sportsman's Park IV	1037
1940	NL	SLN	STL	3	156	84	69	St. Louis Cardinals	Sportsman's Park IV	1038
1940	AL	WS1	MIN	7	154	64	90	Washington Senators	Griffith Stadium I	1039
1941	AL	BOS	BOS	2	155	84	70	Boston Red Sox	Fenway Park II	1040
1941	NL	BRO	LAD	1	157	100	54	Brooklyn Dodgers	Ebbets Field	1041
1941	NL	BSN	ATL	7	156	62	92	Boston Braves	Braves Field	1042
1941	AL	CHA	CHW	3	156	77	77	Chicago White Sox	Comiskey Park	1043
1941	NL	CHN	CHC	6	155	70	84	Chicago Cubs	Wrigley Field	1044
1941	NL	CIN	CIN	3	154	88	66	Cincinnati Reds	Crosley Field	1045
1941	AL	CLE	CLE	4	155	75	79	Cleveland Indians	League Park II/Cleveland Stadium	1046
1941	AL	DET	DET	4	155	75	79	Detroit Tigers	Briggs Stadium	1047
1941	NL	NY1	SFG	5	156	74	79	New York Giants	Polo Grounds IV	1048
1941	AL	NYA	NYY	1	156	101	53	New York Yankees	Yankee Stadium I	1049
1941	AL	PHA	OAK	8	154	64	90	Philadelphia Athletics	Shibe Park	1050
1941	NL	PHI	PHI	8	155	43	111	Philadelphia Phillies	Shibe Park	1051
1941	NL	PIT	PIT	4	156	81	73	Pittsburgh Pirates	Forbes Field	1052
1941	AL	SLA	BAL	6	157	70	84	St. Louis Browns	Sportsman's Park IV	1053
1941	NL	SLN	STL	2	155	97	56	St. Louis Cardinals	Sportsman's Park IV	1054
1941	AL	WS1	MIN	6	156	70	84	Washington Senators	Griffith Stadium I	1055
1942	AL	BOS	BOS	2	152	93	59	Boston Red Sox	Fenway Park II	1056
1942	NL	BRO	LAD	2	155	104	50	Brooklyn Dodgers	Ebbets Field	1057
