yearID	league	teamID	franchID	Rank	G	W	L	name	park	teamNO
1953	NL	PHI	PHI	3	156	83	71	Philadelphia Phillies	Connie Mack Stadium	1243
1953	NL	PIT	PIT	8	154	50	104	Pittsburgh Pirates	Forbes Field	1244
1953	AL	SLA	BAL	8	154	54	100	St. Louis Browns	Sportsman's Park IV	1245
1953	NL	SLN	STL	3	157	83	71	St. Louis Cardinals	Sportsman's Park IV	1246
1953	AL	WS1	MIN	5	152	76	76	Washington Senators	Griffith Stadium I	1247
1954	AL	BAL	BAL	7	154	54	100	Baltimore Orioles	Memorial Stadium	1248
1954	AL	BOS	BOS	4	156	69	85	Boston Red Sox	Fenway Park II	1249
1954	NL	BRO	LAD	2	154	92	62	Brooklyn Dodgers	Ebbets Field	1250
1954	AL	CHA	CHW	3	155	94	60	Chicago White Sox	Comiskey Park	1251
1954	NL	CHN	CHC	7	154	64	90	Chicago Cubs	Wrigley Field	1252
1954	NL	CIN	CIN	5	154	74	80	Cincinnati Redlegs	Crosley Field	1253
1954	AL	CLE	CLE	1	156	111	43	Cleveland Indians	Cleveland Stadium	1254
1954	AL	DET	DET	5	155	68	86	Detroit Tigers	Briggs Stadium	1255
1954	NL	ML1	ATL	3	154	89	65	Milwaukee Braves	County Stadium	1256
1954	NL	NY1	SFG	1	154	97	57	New York Giants	Polo Grounds IV	1257
1954	AL	NYA	NYY	2	155	103	51	New York Yankees	Yankee Stadium I	1258
1954	AL	PHA	OAK	8	156	51	103	Philadelphia Athletics	Connie Mack Stadium	1259
1954	NL	PHI	PHI	4	154	75	79	Philadelphia Phillies	Connie Mack Stadium	1260
1954	NL	PIT	PIT	8	154	53	101	Pittsburgh Pirates	Forbes Field	1261
