yearID,teamID,league,playerID,salary,SalaryID
1985,ATL,NL,barkele01,870000,1
1985,ATL,NL,bedrost01,550000,2
1985,ATL,NL,benedbr01,545000,3
1985,ATL,NL,campri01,633333,4
1985,ATL,NL,ceronri01,625000,5
1985,ATL,NL,chambch01,800000,6
1985,ATL,NL,dedmoje01,150000,7
1985,ATL,NL,forstte01,483333,8
1985,ATL,NL,garbege01,772000,9
1985,ATL,NL,harpete01,250000,10
1985,ATL,NL,hornebo01,1500000,11
1985,ATL,NL,hubbagl01,455000,12
1985,ATL,NL,mahleri01,407500,13
1985,ATL,NL,mcmurcr01,275000,14
1985,ATL,NL,mumphje01,775000,15
1985,ATL,NL,murphda05,1625000,16
1985,ATL,NL,oberkke01,616667,17
1985,ATL,NL,perezpa01,450000,18
1985,ATL,NL,perryge01,120000,19
1985,ATL,NL,ramirra01,750000,20
1985,ATL,NL,suttebr01,1354167,21
1985,ATL,NL,washicl01,800000,22
1985,BAL,AL,boddimi01,625000,23
1985,BAL,AL,dauerri01,480000,24
1985,BAL,AL,davisst02,437500,25
1985,BAL,AL,dempsri01,512500,26
1985,BAL,AL,dwyerji01,375000,27
1985,BAL,AL,flanami01,641667,28
1985,BAL,AL,fordda01,450000,29
1985,BAL,AL,grosswa01,483333,30
1985,BAL,AL,lacyle01,725000,31
1985,BAL,AL,lynnfr01,1090000,32
1985,BAL,AL,martide01,560000,33
1985,BAL,AL,martiti01,440000,34
1985,BAL,AL,mcgresc01,547143,35
1985,BAL,AL,murraed02,1472819,36
1985,BAL,AL,nolanjo01,341667,37
1985,BAL,AL,rayfofl01,128500,38
1985,BAL,AL,ripkeca01,800000,39
1985,BAL,AL,roeniga01,558333,40
1985,BAL,AL,sheetla01,60000,41
1985,BAL,AL,shelbjo01,130000,42
1985,BAL,AL,stewasa01,581250,43
1985,BAL,AL,youngmi01,121000,44
1985,BOS,AL,armasto01,915000,45
1985,BOS,AL,barrema02,272500,46
1985,BOS,AL,boggswa01,1000000,47
1985,BOS,AL,bordiri01,115000,48
1985,BOS,AL,boydoi01,177500,49
1985,BOS,AL,bucknbi01,747500,50
1985,BOS,AL,clearma01,580000,51
1985,BOS,AL,clemero02,140000,52
1985,BOS,AL,crawfst01,160000,53
1985,BOS,AL,easlemi01,650000,54
